Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
Bayan College for Science & Technology,Richmond,Virginia,23220,https://ted.com/laoreet/ut/rhoncus/aliquet/pulvinar/sed/nisl.html?quisque=gravida&porta=sem&volutpat=praesent&erat=id&quisque=massa&erat=id&eros=nisl&viverra=venenatis&eget=lacinia&congue=aenean&eget=sit&semper=amet&rutrum=justo&nulla=morbi&nunc=ut&purus=odio&phasellus=cras&in=mi&felis=pede&donec=malesuada&semper=in&sapien=imperdiet&a=et&libero=commodo&nam=vulputate&dui=justo&proin=in&leo=blandit&odio=ultrices&porttitor=enim&id=lorem&consequat=ipsum&in=dolor&consequat=sit&ut=amet&nulla=consectetuer&sed=adipiscing&accumsan=elit&felis=proin&ut=interdum&at=mauris&dolor=non&quis=ligula&odio=pellentesque&consequat=ultrices&varius=phasellus&integer=id&ac=sapien&leo=in&pellentesque=sapien&ultrices=iaculis&mattis=congue&odio=vivamus&donec=metus&vitae=arcu&nisi=adipiscing&nam=molestie&ultrices=hendrerit&libero=at&non=vulputate&mattis=vitae&pulvinar=nisl&nulla=aenean&pede=lectus&ullamcorper=pellentesque&augue=eget&a=nunc&suscipit=donec&nulla=quis&elit=orci&ac=eget&nulla=orci&sed=vehicula&vel=condimentum&enim=curabitur&sit=in&amet=libero&nunc=ut&viverra=massa&dapibus=volutpat&nulla=convallis&suscipit=morbi&ligula=odio&in=odio&lacus=elementum&curabitur=eu&at=interdum&ipsum=eu&ac=tincidunt&tellus=in,1326,1276,3.67,3.49,19936,45249,34,23,2,10,14
Indian Board of Alternative Medicine,Seattle,Washington,98104,https://theatlantic.com/odio/elementum/eu/interdum/eu.jsp?elementum=aliquam&pellentesque=erat&quisque=volutpat&porta=in&volutpat=congue&erat=etiam&quisque=justo&erat=etiam&eros=pretium&viverra=iaculis&eget=justo&congue=in&eget=hac&semper=habitasse&rutrum=platea&nulla=dictumst&nunc=etiam&purus=faucibus&phasellus=cursus&in=urna&felis=ut&donec=tellus&semper=nulla&sapien=ut,1171,930,3.33,1.8,17957,59545,36,16,18,13,11
Stockholm School of Economics,Port Charlotte,Florida,33954,http://dell.com/duis/bibendum/felis/sed/interdum/venenatis/turpis.html?vitae=fusce&mattis=congue&nibh=diam&ligula=id&nec=ornare,759,995,0.94,1.57,24589,26261,24,16,17,13,5
Murni Nursing College,Mount Vernon,New York,10557,http://alibaba.com/lorem/ipsum/dolor/sit.html?habitasse=nam&platea=congue&dictumst=risus&etiam=semper&faucibus=porta&cursus=volutpat&urna=quam&ut=pede&tellus=lobortis&nulla=ligula&ut=sit&erat=amet&id=eleifend&mauris=pede&vulputate=libero,1000,1222,2.73,3.16,32361,53906,19,24,19,15,12
School of Business and Finance,Birmingham,Alabama,35205,https://sogou.com/hac/habitasse/platea.xml?sem=consequat&fusce=varius&consequat=integer&nulla=ac&nisl=leo&nunc=pellentesque&nisl=ultrices&duis=mattis&bibendum=odio&felis=donec&sed=vitae&interdum=nisi&venenatis=nam,1121,1111,3.82,0.51,26367,54426,33,36,15,7,10
"Sarhad University of Science & Information Technology, Peshawar ",Dallas,Texas,75251,http://blinklist.com/eget/congue/eget/semper/rutrum/nulla/nunc.aspx?pede=porttitor&ac=pede,1288,948,1.93,1.39,14228,51614,32,35,4,15,8
Universidad Nacional Abierta y a Distancia,Mobile,Alabama,36605,https://scientificamerican.com/risus/praesent/lectus/vestibulum.xml?integer=ante&pede=ipsum&justo=primis&lacinia=in&eget=faucibus&tincidunt=orci&eget=luctus&tempus=et&vel=ultrices&pede=posuere&morbi=cubilia&porttitor=curae&lorem=mauris&id=viverra&ligula=diam&suspendisse=vitae&ornare=quam&consequat=suspendisse&lectus=potenti&in=nullam&est=porttitor&risus=lacus,931,1271,0.69,1.32,31576,79334,35,16,18,9,2
Universitas Dian Nuswantoro,Pittsburgh,Pennsylvania,15240,http://eventbrite.com/in/congue.jsp?erat=pellentesque&id=ultrices&mauris=phasellus&vulputate=id&elementum=sapien&nullam=in&varius=sapien&nulla=iaculis&facilisi=congue&cras=vivamus&non=metus&velit=arcu&nec=adipiscing&nisi=molestie&vulputate=hendrerit&nonummy=at&maecenas=vulputate&tincidunt=vitae&lacus=nisl&at=aenean&velit=lectus&vivamus=pellentesque&vel=eget&nulla=nunc,1079,1088,2.07,2.52,20465,45101,11,32,14,17,4
University of Illinois at Springfield,Pittsburgh,Pennsylvania,15286,https://vkontakte.ru/proin/risus/praesent/lectus/vestibulum/quam.html?vitae=eget&nisl=orci&aenean=vehicula&lectus=condimentum&pellentesque=curabitur&eget=in&nunc=libero&donec=ut&quis=massa&orci=volutpat&eget=convallis&orci=morbi&vehicula=odio&condimentum=odio&curabitur=elementum&in=eu&libero=interdum&ut=eu&massa=tincidunt&volutpat=in&convallis=leo&morbi=maecenas&odio=pulvinar&odio=lobortis&elementum=est&eu=phasellus&interdum=sit&eu=amet&tincidunt=erat&in=nulla&leo=tempus&maecenas=vivamus&pulvinar=in&lobortis=felis&est=eu&phasellus=sapien&sit=cursus&amet=vestibulum&erat=proin&nulla=eu&tempus=mi&vivamus=nulla&in=ac&felis=enim&eu=in&sapien=tempor&cursus=turpis&vestibulum=nec&proin=euismod,973,1489,2.54,2.44,34877,60561,22,20,5,18,10
Sadjad Institute of Technology,Atlanta,Georgia,30351,https://virginia.edu/consectetuer.aspx?viverra=curae&diam=mauris&vitae=viverra&quam=diam&suspendisse=vitae&potenti=quam&nullam=suspendisse&porttitor=potenti&lacus=nullam&at=porttitor&turpis=lacus&donec=at&posuere=turpis&metus=donec&vitae=posuere&ipsum=metus&aliquam=vitae&non=ipsum&mauris=aliquam&morbi=non&non=mauris&lectus=morbi&aliquam=non&sit=lectus&amet=aliquam&diam=sit&in=amet&magna=diam&bibendum=in&imperdiet=magna&nullam=bibendum&orci=imperdiet&pede=nullam&venenatis=orci&non=pede&sodales=venenatis&sed=non&tincidunt=sodales&eu=sed&felis=tincidunt&fusce=eu&posuere=felis&felis=fusce&sed=posuere&lacus=felis&morbi=sed&sem=lacus&mauris=morbi&laoreet=sem&ut=mauris&rhoncus=laoreet&aliquet=ut&pulvinar=rhoncus&sed=aliquet&nisl=pulvinar&nunc=sed&rhoncus=nisl&dui=nunc&vel=rhoncus&sem=dui&sed=vel&sagittis=sem&nam=sed&congue=sagittis&risus=nam&semper=congue&porta=risus&volutpat=semper&quam=porta&pede=volutpat&lobortis=quam,1406,1275,3.14,3.3,32886,73711,33,25,20,2,15
Universiti Sains Malaysia,Burbank,California,91505,http://1und1.de/tincidunt/nulla/mollis.aspx?id=proin&ornare=at&imperdiet=turpis&sapien=a&urna=pede&pretium=posuere&nisl=nonummy&ut=integer&volutpat=non&sapien=velit&arcu=donec&sed=diam&augue=neque&aliquam=vestibulum&erat=eget&volutpat=vulputate&in=ut&congue=ultrices&etiam=vel&justo=augue&etiam=vestibulum&pretium=ante&iaculis=ipsum&justo=primis&in=in&hac=faucibus&habitasse=orci&platea=luctus&dictumst=et&etiam=ultrices&faucibus=posuere&cursus=cubilia&urna=curae&ut=donec&tellus=pharetra&nulla=magna&ut=vestibulum&erat=aliquet&id=ultrices&mauris=erat&vulputate=tortor&elementum=sollicitudin&nullam=mi&varius=sit&nulla=amet&facilisi=lobortis&cras=sapien&non=sapien&velit=non&nec=mi&nisi=integer&vulputate=ac&nonummy=neque&maecenas=duis&tincidunt=bibendum&lacus=morbi&at=non&velit=quam&vivamus=nec&vel=dui&nulla=luctus&eget=rutrum&eros=nulla&elementum=tellus&pellentesque=in&quisque=sagittis&porta=dui&volutpat=vel&erat=nisl&quisque=duis&erat=ac&eros=nibh&viverra=fusce,771,1557,3.25,1.41,13151,43988,14,25,3,6,4
Fachhochschule Kufstein (Tirol),Richmond,Virginia,23237,https://answers.com/venenatis/turpis/enim/blandit.png?sit=praesent&amet=lectus&consectetuer=vestibulum&adipiscing=quam&elit=sapien&proin=varius&interdum=ut&mauris=blandit&non=non&ligula=interdum&pellentesque=in&ultrices=ante&phasellus=vestibulum&id=ante&sapien=ipsum&in=primis&sapien=in&iaculis=faucibus&congue=orci&vivamus=luctus&metus=et&arcu=ultrices&adipiscing=posuere&molestie=cubilia&hendrerit=curae&at=duis&vulputate=faucibus&vitae=accumsan&nisl=odio&aenean=curabitur&lectus=convallis&pellentesque=duis&eget=consequat&nunc=dui&donec=nec&quis=nisi&orci=volutpat&eget=eleifend&orci=donec&vehicula=ut&condimentum=dolor&curabitur=morbi&in=vel&libero=lectus&ut=in&massa=quam&volutpat=fringilla&convallis=rhoncus&morbi=mauris&odio=enim&odio=leo&elementum=rhoncus&eu=sed&interdum=vestibulum&eu=sit&tincidunt=amet&in=cursus&leo=id&maecenas=turpis&pulvinar=integer&lobortis=aliquet&est=massa&phasellus=id&sit=lobortis&amet=convallis&erat=tortor,1361,1113,3.29,3.96,14957,55593,35,14,1,20,1
Chongqing Three Gorges University,Birmingham,Alabama,35254,http://craigslist.org/condimentum/curabitur/in/libero/ut.html?phasellus=turpis&id=eget&sapien=elit&in=sodales&sapien=scelerisque&iaculis=mauris&congue=sit&vivamus=amet&metus=eros&arcu=suspendisse&adipiscing=accumsan&molestie=tortor&hendrerit=quis&at=turpis&vulputate=sed&vitae=ante&nisl=vivamus&aenean=tortor&lectus=duis&pellentesque=mattis&eget=egestas&nunc=metus&donec=aenean&quis=fermentum&orci=donec&eget=ut&orci=mauris&vehicula=eget&condimentum=massa&curabitur=tempor&in=convallis&libero=nulla&ut=neque&massa=libero&volutpat=convallis&convallis=eget&morbi=eleifend&odio=luctus&odio=ultricies&elementum=eu&eu=nibh&interdum=quisque&eu=id&tincidunt=justo&in=sit&leo=amet&maecenas=sapien&pulvinar=dignissim&lobortis=vestibulum&est=vestibulum&phasellus=ante&sit=ipsum,1051,1214,2.87,1.7,37174,75502,12,20,5,11,15
Nisho Gakusha University,Montgomery,Alabama,36125,https://google.co.jp/elit/sodales/scelerisque/mauris/sit/amet.aspx?quam=amet&nec=nulla&dui=quisque&luctus=arcu&rutrum=libero&nulla=rutrum&tellus=ac,1263,1088,2.82,2.48,13300,68101,15,36,5,20,8
Alabama Agricultural and Mechanical University,White Plains,New York,10606,http://wired.com/consequat/lectus/in/est/risus.png?lacinia=est&sapien=risus&quis=auctor&libero=sed&nullam=tristique&sit=in&amet=tempus&turpis=sit&elementum=amet&ligula=sem&vehicula=fusce&consequat=consequat&morbi=nulla&a=nisl&ipsum=nunc&integer=nisl&a=duis&nibh=bibendum&in=felis&quis=sed&justo=interdum&maecenas=venenatis&rhoncus=turpis&aliquam=enim&lacus=blandit&morbi=mi&quis=in&tortor=porttitor&id=pede&nulla=justo&ultrices=eu&aliquet=massa&maecenas=donec&leo=dapibus&odio=duis&condimentum=at&id=velit&luctus=eu&nec=est&molestie=congue&sed=elementum&justo=in&pellentesque=hac&viverra=habitasse&pede=platea&ac=dictumst&diam=morbi&cras=vestibulum&pellentesque=velit&volutpat=id&dui=pretium&maecenas=iaculis&tristique=diam&est=erat&et=fermentum&tempus=justo,905,1083,2.77,2.88,11883,77070,26,16,10,19,5
Dokuz Eylül University,Los Angeles,California,90055,http://paginegialle.it/nulla/quisque/arcu/libero/rutrum.jpg?faucibus=lacinia&accumsan=erat&odio=vestibulum&curabitur=sed&convallis=magna&duis=at&consequat=nunc,1292,1556,1.3,2.72,29210,79744,17,18,11,14,10
Universitat Rámon Llull,Amarillo,Texas,79116,https://ow.ly/dolor/vel/est/donec/odio/justo/sollicitudin.png?bibendum=in&felis=sagittis&sed=dui&interdum=vel&venenatis=nisl&turpis=duis&enim=ac&blandit=nibh&mi=fusce&in=lacus&porttitor=purus&pede=aliquet&justo=at&eu=feugiat&massa=non&donec=pretium&dapibus=quis&duis=lectus&at=suspendisse&velit=potenti&eu=in&est=eleifend&congue=quam&elementum=a&in=odio&hac=in&habitasse=hac&platea=habitasse&dictumst=platea&morbi=dictumst&vestibulum=maecenas&velit=ut&id=massa&pretium=quis&iaculis=augue&diam=luctus&erat=tincidunt&fermentum=nulla&justo=mollis&nec=molestie&condimentum=lorem&neque=quisque&sapien=ut&placerat=erat&ante=curabitur&nulla=gravida&justo=nisi&aliquam=at&quis=nibh&turpis=in&eget=hac&elit=habitasse&sodales=platea&scelerisque=dictumst&mauris=aliquam&sit=augue&amet=quam&eros=sollicitudin&suspendisse=vitae&accumsan=consectetuer&tortor=eget&quis=rutrum&turpis=at&sed=lorem&ante=integer&vivamus=tincidunt&tortor=ante&duis=vel&mattis=ipsum&egestas=praesent&metus=blandit&aenean=lacinia&fermentum=erat&donec=vestibulum&ut=sed&mauris=magna&eget=at&massa=nunc&tempor=commodo&convallis=placerat&nulla=praesent&neque=blandit&libero=nam&convallis=nulla&eget=integer&eleifend=pede&luctus=justo&ultricies=lacinia&eu=eget&nibh=tincidunt&quisque=eget,1377,1353,1.05,1.97,26464,42399,14,32,6,5,5
Catholic University of Korea,Tucson,Arizona,85743,http://msn.com/donec/ut.js?eleifend=primis&donec=in&ut=faucibus&dolor=orci&morbi=luctus&vel=et&lectus=ultrices&in=posuere&quam=cubilia&fringilla=curae&rhoncus=nulla&mauris=dapibus&enim=dolor&leo=vel&rhoncus=est&sed=donec&vestibulum=odio&sit=justo&amet=sollicitudin&cursus=ut&id=suscipit&turpis=a&integer=feugiat&aliquet=et&massa=eros&id=vestibulum&lobortis=ac&convallis=est&tortor=lacinia&risus=nisi&dapibus=venenatis&augue=tristique&vel=fusce&accumsan=congue&tellus=diam&nisi=id&eu=ornare&orci=imperdiet&mauris=sapien&lacinia=urna&sapien=pretium&quis=nisl&libero=ut&nullam=volutpat&sit=sapien&amet=arcu&turpis=sed&elementum=augue&ligula=aliquam&vehicula=erat&consequat=volutpat&morbi=in,1205,816,1.75,2.42,15797,52205,32,11,17,12,9
Tribhuvan University Kathmandu,New York City,New York,10275,https://reference.com/lacinia/erat/vestibulum.png?dapibus=parturient&duis=montes&at=nascetur&velit=ridiculus&eu=mus&est=vivamus&congue=vestibulum&elementum=sagittis&in=sapien&hac=cum&habitasse=sociis&platea=natoque&dictumst=penatibus&morbi=et&vestibulum=magnis&velit=dis&id=parturient&pretium=montes&iaculis=nascetur&diam=ridiculus&erat=mus&fermentum=etiam&justo=vel&nec=augue&condimentum=vestibulum&neque=rutrum&sapien=rutrum&placerat=neque&ante=aenean&nulla=auctor&justo=gravida&aliquam=sem&quis=praesent&turpis=id&eget=massa&elit=id&sodales=nisl&scelerisque=venenatis&mauris=lacinia&sit=aenean&amet=sit&eros=amet&suspendisse=justo&accumsan=morbi&tortor=ut&quis=odio&turpis=cras&sed=mi&ante=pede&vivamus=malesuada&tortor=in&duis=imperdiet&mattis=et&egestas=commodo&metus=vulputate&aenean=justo&fermentum=in&donec=blandit&ut=ultrices&mauris=enim&eget=lorem&massa=ipsum&tempor=dolor&convallis=sit&nulla=amet&neque=consectetuer&libero=adipiscing&convallis=elit&eget=proin&eleifend=interdum&luctus=mauris&ultricies=non&eu=ligula&nibh=pellentesque&quisque=ultrices&id=phasellus&justo=id&sit=sapien&amet=in&sapien=sapien&dignissim=iaculis&vestibulum=congue&vestibulum=vivamus,1059,1164,0.79,0.69,14702,47071,15,18,10,3,13
University of Edinburgh,Houston,Texas,77266,https://engadget.com/lacinia/nisi/venenatis/tristique/fusce.xml?mauris=vulputate&lacinia=ut&sapien=ultrices&quis=vel&libero=augue&nullam=vestibulum&sit=ante&amet=ipsum&turpis=primis&elementum=in&ligula=faucibus&vehicula=orci&consequat=luctus&morbi=et&a=ultrices&ipsum=posuere&integer=cubilia&a=curae&nibh=donec&in=pharetra&quis=magna&justo=vestibulum&maecenas=aliquet&rhoncus=ultrices&aliquam=erat&lacus=tortor&morbi=sollicitudin&quis=mi&tortor=sit&id=amet&nulla=lobortis&ultrices=sapien&aliquet=sapien&maecenas=non&leo=mi&odio=integer&condimentum=ac&id=neque&luctus=duis&nec=bibendum&molestie=morbi&sed=non&justo=quam&pellentesque=nec&viverra=dui&pede=luctus,1080,1388,3.4,3.15,40444,46035,11,25,3,10,6
Tomball College,Norfolk,Virginia,23504,http://netscape.com/enim/lorem/ipsum.jpg?vestibulum=odio&sagittis=elementum&sapien=eu&cum=interdum&sociis=eu&natoque=tincidunt&penatibus=in&et=leo&magnis=maecenas&dis=pulvinar&parturient=lobortis&montes=est&nascetur=phasellus&ridiculus=sit&mus=amet&etiam=erat&vel=nulla&augue=tempus&vestibulum=vivamus&rutrum=in&rutrum=felis&neque=eu&aenean=sapien&auctor=cursus&gravida=vestibulum&sem=proin&praesent=eu&id=mi&massa=nulla&id=ac&nisl=enim&venenatis=in&lacinia=tempor&aenean=turpis&sit=nec&amet=euismod&justo=scelerisque&morbi=quam&ut=turpis&odio=adipiscing&cras=lorem&mi=vitae&pede=mattis&malesuada=nibh&in=ligula&imperdiet=nec&et=sem&commodo=duis&vulputate=aliquam&justo=convallis&in=nunc&blandit=proin&ultrices=at&enim=turpis&lorem=a&ipsum=pede&dolor=posuere&sit=nonummy&amet=integer&consectetuer=non&adipiscing=velit&elit=donec&proin=diam&interdum=neque&mauris=vestibulum&non=eget&ligula=vulputate&pellentesque=ut&ultrices=ultrices&phasellus=vel&id=augue&sapien=vestibulum&in=ante&sapien=ipsum&iaculis=primis,1082,1455,3.3,0.95,36430,33345,18,34,2,12,0
American University of Middle East,Birmingham,Alabama,35254,https://mayoclinic.com/semper/sapien/a/libero.png?dignissim=faucibus&vestibulum=orci&vestibulum=luctus&ante=et&ipsum=ultrices&primis=posuere&in=cubilia&faucibus=curae&orci=donec&luctus=pharetra&et=magna&ultrices=vestibulum&posuere=aliquet&cubilia=ultrices&curae=erat&nulla=tortor&dapibus=sollicitudin&dolor=mi&vel=sit&est=amet&donec=lobortis&odio=sapien&justo=sapien&sollicitudin=non&ut=mi&suscipit=integer&a=ac&feugiat=neque&et=duis&eros=bibendum&vestibulum=morbi&ac=non&est=quam&lacinia=nec&nisi=dui&venenatis=luctus,1522,697,3.61,2.72,28695,42583,21,22,13,12,1
Egerton University,Nashville,Tennessee,37220,http://ocn.ne.jp/gravida/nisi/at.js?etiam=hendrerit&faucibus=at&cursus=vulputate&urna=vitae&ut=nisl&tellus=aenean&nulla=lectus&ut=pellentesque&erat=eget&id=nunc&mauris=donec&vulputate=quis&elementum=orci&nullam=eget&varius=orci&nulla=vehicula&facilisi=condimentum&cras=curabitur&non=in&velit=libero&nec=ut,1170,933,2.04,1.92,21667,63802,17,18,3,11,0
Stavropol State Technical University,Saint Paul,Minnesota,55108,https://army.mil/nibh/in/hac.aspx?vivamus=nibh&in=in&felis=quis&eu=justo&sapien=maecenas&cursus=rhoncus&vestibulum=aliquam&proin=lacus&eu=morbi&mi=quis&nulla=tortor&ac=id&enim=nulla&in=ultrices&tempor=aliquet&turpis=maecenas&nec=leo&euismod=odio&scelerisque=condimentum&quam=id,685,619,2.72,2.21,42497,75650,25,13,12,14,15
Tokyo National University of Fine Arts and Music,Toledo,Ohio,43635,http://washingtonpost.com/ultrices/phasellus/id/sapien/in/sapien/iaculis.png?nunc=volutpat&vestibulum=dui&ante=maecenas&ipsum=tristique&primis=est&in=et&faucibus=tempus&orci=semper&luctus=est&et=quam&ultrices=pharetra&posuere=magna&cubilia=ac&curae=consequat&mauris=metus&viverra=sapien&diam=ut&vitae=nunc&quam=vestibulum&suspendisse=ante&potenti=ipsum&nullam=primis&porttitor=in&lacus=faucibus&at=orci&turpis=luctus&donec=et&posuere=ultrices&metus=posuere&vitae=cubilia&ipsum=curae&aliquam=mauris&non=viverra&mauris=diam&morbi=vitae&non=quam&lectus=suspendisse&aliquam=potenti&sit=nullam&amet=porttitor&diam=lacus&in=at&magna=turpis&bibendum=donec&imperdiet=posuere&nullam=metus&orci=vitae&pede=ipsum&venenatis=aliquam&non=non&sodales=mauris&sed=morbi&tincidunt=non&eu=lectus,626,1020,3.11,3.44,42157,54896,28,35,16,15,14
Universidade Federal de Minas Gerais,Hartford,Connecticut,06120,https://blogspot.com/nunc/viverra/dapibus.xml?nibh=nulla&ligula=justo&nec=aliquam&sem=quis&duis=turpis&aliquam=eget&convallis=elit&nunc=sodales&proin=scelerisque&at=mauris&turpis=sit&a=amet&pede=eros&posuere=suspendisse&nonummy=accumsan&integer=tortor&non=quis&velit=turpis&donec=sed&diam=ante&neque=vivamus&vestibulum=tortor&eget=duis&vulputate=mattis&ut=egestas&ultrices=metus&vel=aenean&augue=fermentum&vestibulum=donec&ante=ut&ipsum=mauris&primis=eget&in=massa&faucibus=tempor&orci=convallis&luctus=nulla&et=neque&ultrices=libero&posuere=convallis&cubilia=eget&curae=eleifend&donec=luctus&pharetra=ultricies&magna=eu&vestibulum=nibh&aliquet=quisque&ultrices=id&erat=justo&tortor=sit&sollicitudin=amet&mi=sapien&sit=dignissim&amet=vestibulum&lobortis=vestibulum&sapien=ante&sapien=ipsum&non=primis&mi=in&integer=faucibus&ac=orci&neque=luctus&duis=et&bibendum=ultrices&morbi=posuere,1110,959,1.39,1.77,43735,75306,15,15,10,12,2
Chestnut Hill College,Columbus,Ohio,43210,http://businesswire.com/mi/integer/ac/neque/duis/bibendum/morbi.jsp?duis=luctus&faucibus=tincidunt&accumsan=nulla&odio=mollis&curabitur=molestie&convallis=lorem&duis=quisque&consequat=ut&dui=erat&nec=curabitur&nisi=gravida&volutpat=nisi&eleifend=at&donec=nibh&ut=in&dolor=hac&morbi=habitasse&vel=platea&lectus=dictumst&in=aliquam&quam=augue&fringilla=quam&rhoncus=sollicitudin&mauris=vitae&enim=consectetuer&leo=eget&rhoncus=rutrum&sed=at&vestibulum=lorem,859,1341,1.39,0.61,22558,50328,29,11,17,18,7
Universidade Católica Dom Bosco,Roanoke,Virginia,24048,http://cargocollective.com/ipsum/ac/tellus.jpg?ultrices=convallis&posuere=nunc&cubilia=proin&curae=at&donec=turpis&pharetra=a&magna=pede&vestibulum=posuere&aliquet=nonummy&ultrices=integer&erat=non&tortor=velit&sollicitudin=donec&mi=diam&sit=neque&amet=vestibulum&lobortis=eget&sapien=vulputate&sapien=ut&non=ultrices&mi=vel&integer=augue,724,971,0.55,2.72,34793,35082,18,15,6,1,0
"City University of New York, Graduate School and University Center",Tulsa,Oklahoma,74126,https://go.com/pharetra/magna/vestibulum/aliquet.aspx?a=magna&ipsum=vestibulum&integer=aliquet&a=ultrices&nibh=erat&in=tortor&quis=sollicitudin&justo=mi&maecenas=sit&rhoncus=amet&aliquam=lobortis&lacus=sapien&morbi=sapien&quis=non&tortor=mi,1458,622,3.15,3.51,42436,71614,24,31,3,15,1
Universidad Antonio de Nebrija,Saint Paul,Minnesota,55146,https://statcounter.com/imperdiet/nullam/orci/pede/venenatis.xml?tincidunt=sodales&eu=scelerisque&felis=mauris&fusce=sit&posuere=amet&felis=eros&sed=suspendisse&lacus=accumsan&morbi=tortor&sem=quis&mauris=turpis&laoreet=sed&ut=ante&rhoncus=vivamus&aliquet=tortor&pulvinar=duis&sed=mattis&nisl=egestas&nunc=metus&rhoncus=aenean&dui=fermentum&vel=donec&sem=ut&sed=mauris&sagittis=eget&nam=massa&congue=tempor&risus=convallis&semper=nulla&porta=neque&volutpat=libero&quam=convallis&pede=eget&lobortis=eleifend&ligula=luctus&sit=ultricies&amet=eu&eleifend=nibh&pede=quisque&libero=id&quis=justo&orci=sit&nullam=amet&molestie=sapien&nibh=dignissim&in=vestibulum&lectus=vestibulum&pellentesque=ante&at=ipsum&nulla=primis&suspendisse=in&potenti=faucibus&cras=orci&in=luctus&purus=et&eu=ultrices&magna=posuere&vulputate=cubilia&luctus=curae&cum=nulla&sociis=dapibus&natoque=dolor&penatibus=vel&et=est&magnis=donec&dis=odio&parturient=justo&montes=sollicitudin&nascetur=ut&ridiculus=suscipit&mus=a,1130,667,1.11,1.56,31127,57292,15,11,6,5,7
Applied Science University,Houston,Texas,77085,http://purevolume.com/tempus/vivamus/in.html?ullamcorper=habitasse&augue=platea&a=dictumst&suscipit=morbi&nulla=vestibulum&elit=velit&ac=id&nulla=pretium&sed=iaculis&vel=diam&enim=erat&sit=fermentum&amet=justo&nunc=nec&viverra=condimentum&dapibus=neque&nulla=sapien&suscipit=placerat,1465,1525,2.61,1.16,25528,26600,28,30,11,6,8
